SABIAN  AAX 14" FREQUENCY HATS	AUD $629	 AUD $439
SABIAN  AAX 8" AIR SPLASH CYMBAL	AUD $229	 AUD $159
SABIAN  HHX 20" XPLOSION CRASH BRILLIANT CYMBAL	AUD $659	 AUD $469
Sabian 10" Paragon Splash Cymbal	 AUD $199
SABIAN 10705XEB HHX 7" EVO SPLASH BR	 AUD $229
SABIAN 10759R HH 7" RADIA CUP CHIME	effect AUD $229
SABIAN 10805 HH 8" SPLASH	 AUD $249
SABIAN 10805B HH 8" SPLASH BR	 AUD $249
SABIAN 10859R HH 8" RADIA CUP CHIME effect	 AUD $269
SABIAN 10959R HH 9" RADIA CUP CHIME	effect  AUD $289
SABIAN 11005 HH 10" SPLASH	 AUD $249
SABIAN 11005XB HHX 10" SPLASH BR	 AUD $249
SABIAN 11005XEB HHX 10" EVO SPLASH BR	 AUD $249
SABIAN 11005XN HHX 10" SPLASH	 AUD $249
SABIAN 11059CAL HH 10" ALIEN DISC effect	 AUD $239
SABIAN 11065 HH 10" DUO SPLASH	 AUD $249
SABIAN 11067 HH 10" CHINA KANG	 AUD $269
SABIAN 11067B HH 10" CHINA KANG BR	 AUD $269
SABIAN 11205XEB HHX 12" EVO SPLASH BR	 AUD $309
SABIAN 11205XN HHX 12" SPLASH	 AUD $309
SABIAN 11302XEB HHX 13" EVO HI-HATS BR	 AUD $719
SABIAN 11302XNJM HHX 13" FIERCE HATS	 AUD $719
SABIAN 11350 HH 13" FUSION HATS	 AUD $719
SABIAN 11402 HH 14" MEDIUM HATS	 AUD $769
SABIAN 11402L HH 14" X-CELERATOR HATS	 AUD $769
SABIAN 11402LB HH 14" X-CELERATOR HATS BRILLIANT	 AUD $769
SABIAN 11402XEB HHX 14" EVO HI-HATS BR	 AUD $779
SABIAN 11402XL HHX 14" X-CELERATOR HATS	 AUD $779
SABIAN 11402XLB HHX 14" X-CELERATOR HATS BR	 AUD $779
SABIAN 11402XLN HHX 14" LEGACY HATS	 AUD $779
SABIAN 11402XN HHX 14" STAGE HATS	 AUD $779
SABIAN 11402XNC HHX 14" CLICK HATS	 AUD $779
SABIAN 11406XN HHX 14" STUDIO CRASH	 AUD $779
SABIAN 11416XEB HHX 14" EVO MINI CHINa BR	 AUD $399
SABIAN 11450 HH 14" FUSION HATS	 AUD $769
SABIAN 11473 HH 14" DARK HATS	 AUD $769
SABIAN 11487XB HHX 14" XPLOSION CRASH BR	 AUD $389
SABIAN 11489XB HHX 14" GROOVE HATS BR	 AUD $779
SABIAN 11489XN HHX 14" GROOVE HATS	 AUD $779
SABIAN 11589XN HHX 15" GROOVE HATS	 AUD $849
SABIAN 11600 HH 16" OZONE CRASH	 AUD $479
SABIAN 11600XEB HHX 16" EVO OZONE CRashBR	 AUD $489
SABIAN 11606 HH 16" THIN CRASH	 AUD $479
SABIAN 11606XB HHX 16" STUDIO CRASH BR	 AUD $489
SABIAN 11606XEB HHX 16" EVO CRASH BR	 AUD $489
SABIAN 11606XN HHX 16" STUDIO CRASH	 AUD $489
SABIAN 11607 HH 16" MEDIUM-THIN CRASH	 AUD $479
